time,pv,rainfall
1976.0833,NA,13
1976.1667,NA,6
1976.25,NA,160
1976.3333,NA,0
1976.4167,NA,0
1976.5,NA,217
1976.5833,NA,1382
1976.6667,NA,2465
1976.75,NA,700
1976.8333,NA,53
1976.9167,NA,223
1977,NA,0
1977.0833,17314,25
1977.1667,18554,0
1977.25,20479,0
1977.3333,30169,0
1977.4167,41046,286
1977.5,39548,1121
1977.5833,35554,471
1977.6667,39843,609
1977.75,34044,914
1977.8333,20153,0
1977.9167,20894,85
1978,19295,0
1978.0833,17126,0
1978.1667,10974,28
1978.25,14485,0
1978.3333,13172,0
1978.4167,11860,0
1978.5,12610,1576
1978.5833,14001,600
1978.6667,9436,1181
1978.75,7414,47
1978.8333,7068,13
1978.9167,8076,336
1979,9819,19
1979.0833,8638,0
1979.1667,13982,60
1979.25,10924,0
1979.3333,7090,0
1979.4167,6409,0
1979.5,5234,151
1979.5833,4902,53
1979.6667,4644,7128
1979.75,6635,110
1979.8333,13863,104
1979.9167,24235,515
1980,12896,0
1980.0833,5580,9
1980.1667,5580,0
1980.25,5671,0
1980.3333,7100,0
1980.4167,7768,0
1980.5,8814,3693
1980.5833,12108,892
1980.6667,14761,132
1980.75,29145,179
1980.8333,25773,0
1980.9167,18783,104
1981,12384,38
1981.0833,10519,100
1981.1667,11103,0
1981.25,7740,28
1981.3333,7049,79
1981.4167,7257,91
1981.5,6657,6
1981.5833,9407,1517
1981.6667,9564,1492
1981.75,11624,672
1981.8333,20696,25
1981.9167,23497,1454
1982,10933,0
1982.0833,6990,0
1982.1667,6242,9
1982.25,9555,9
1982.3333,7307,38
1982.4167,9169,220
1982.5,16347,3
1982.5833,15194,785
1982.6667,15785,440
1982.75,16987,100
1982.8333,16190,0
1982.9167,8717,135
1983,7216,0
1983.0833,5737,50
1983.1667,6506,0
1983.25,5313,0
1983.3333,6321,122
1983.4167,4299,0
1983.5,4801,72
1983.5833,4603,546
1983.6667,5957,1787
1983.75,10108,41
1983.8333,15094,16
1983.9167,9326,0
1984,5856,0
1984.0833,2631,0
1984.1667,2631,0
1984.25,3284,0
1984.3333,3598,0
1984.4167,3994,0
1984.5,3894,25
1984.5833,2779,185
1984.6667,4713,826
1984.75,3796,1978
1984.8333,2465,0
1984.9167,3856,0
1985,2603,0
1985.0833,2129,0
1985.1667,2239,0
1985.25,1193,0
1985.3333,1184,0
1985.4167,1165,0
1985.5,1124,19
1985.5833,1221,220
1985.6667,1498,933
1985.75,3018,50
1985.8333,3686,13
1985.9167,3649,0
1986,1598,0
1986.0833,926,0
1986.1667,967,0
1986.25,876,0
1986.3333,672,0
1986.4167,681,0
1986.5,1055,487
1986.5833,1529,261
1986.6667,1470,292
1986.75,2022,0
1986.8333,2248,0
1986.9167,2239,0
1987,1529,0
1987.0833,1243,0
1987.1667,1134,0
1987.25,571,0
1987.3333,612,0
1987.4167,543,0
1987.5,741,0
1987.5833,1272,72
1987.6667,945,0
1987.75,1174,0
1987.8333,1014,22
1987.9167,898,0
1988,848,41
1988.0833,603,0
1988.1667,581,0
1988.25,424,0
1988.3333,295,148
1988.4167,355,0
1988.5,807,60
1988.5833,474,3244
1988.6667,788,1269
1988.75,3272,1649
1988.8333,14523,0
1988.9167,15873,0
1989,14485,0
1989.0833,6566,13
1989.1667,3963,0
1989.25,7137,28
1989.3333,12573,0
1989.4167,12384,0
1989.5,15163,1256
1989.5833,32320,1366
1989.6667,38443,2223
1989.75,72104,4019
1989.8333,30574,135
1989.9167,21377,0
1990,13329,0
1990.0833,9505,0
1990.1667,10679,104
1990.25,30427,0
1990.3333,20332,0
1990.4167,14692,0
1990.5,17936,3
1990.5833,18545,0
1990.6667,15844,2377
1990.75,17126,568
1990.8333,15094,188
1990.9167,26916,0
1991,10836,0
1991.0833,5718,0
1991.1667,4704,0
1991.25,5621,0
1991.3333,6151,0
1991.4167,5856,0
1991.5,6409,0
1991.5833,8745,722
1991.6667,10007,41
1991.75,7998,3
1991.8333,4810,0
1991.9167,3175,0
1992,3746,0
1992.0833,2594,116
1992.1667,2239,0
1992.25,2239,0
1992.3333,2220,0
1992.4167,2069,0
1992.5,1806,0
1992.5833,2082,4252
